Humidity,Temperature
57.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
59.00,24.10
59.00,24.10
58.00,24.10
58.00,24.10
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.60
56.00,24.70
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
58.00,24.80
57.00,24.80
58.00,24.80
58.00,24.80
58.00,24.80
58.00,24.80
58.00,24.80
58.00,24.80
58.00,24.80
57.00,24.80
57.00,24.80
58.00,24.80
57.00,24.80
57.00,24.80
57.00,24.90
57.00,25.00
57.00,25.00
57.00,25.20
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
56.00,25.30
56.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.50
56.00,25.80
56.00,25.80
56.00,25.80
55.00,25.80
55.00,25.80
55.00,25.80
55.00,25.80
55.00,25.80
55.00,25.80
55.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
53.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,25.80
54.00,26.10
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
54.00,26.20
53.00,26.20
54.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.20
53.00,26.50
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
53.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
53.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
52.00,26.70
52.00,26.80
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
51.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
52.00,27.10
53.00,27.10
53.00,27.10
53.00,27.10
53.00,27.10
53.00,27.10
53.00,27.10
53.00,27.10
53.00,27.10
53.00,27.10
53.00,27.10
52.00,27.10
52.00,27.10
33.00,31.80
33.00,31.80
nan,nan
33.00,31.80
33.00,31.80
33.00,31.80
33.00,31.80
33.00,31.80
33.00,31.80
33.00,31.80
33.00,31.80
33.00,31.80
33.00,31.80
33.00,31.80
33.00,31.80
33.00,31.80
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
nan,nan
nan,nan
nan,nan
nan,nan
33.00,32.30
nan,nan
nan,nan
33.00,32.30
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
33.00,32.30
34.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
33.00,32.30
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.40
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
32.00,33.30
31.00,33.30
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.50
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.40
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.40
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.30
31.00,33.40
31.00,33.80
31.00,33.80
31.00,33.80
32.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.80
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
31.00,33.30
12:56:44,31.00,33.30
12:56:54,31.00,33.30
12:57:04,31.00,33.30
12:57:14,31.00,33.30
12:57:24,31.00,33.30
12:57:34,31.00,33.30
12:57:44,31.00,33.30
12:57:54,31.00,33.30
12:58:04,31.00,33.30
12:58:14,31.00,33.30
12:58:24,31.00,33.30
12:58:34,31.00,33.30
12:58:44,31.00,33.30
12:58:54,31.00,33.30
12:59:05,31.00,33.30
12:59:15,31.00,33.30
12:59:25,31.00,33.30
12:59:35,31.00,33.30
12:59:45,31.00,33.30
12:59:55,31.00,33.30
13:00:05,31.00,33.30
13:00:15,31.00,33.30
13:00:25,31.00,33.30
13:00:35,31.00,33.30
13:00:45,31.00,33.30
13:00:55,31.00,33.30
13:01:05,31.00,33.30
13:01:15,31.00,33.30
13:01:26,31.00,33.30
13:01:36,31.00,33.30
13:01:46,31.00,33.30
13:01:56,31.00,33.30
13:02:06,31.00,33.30
13:02:16,31.00,33.30
13:02:26,31.00,33.30
13:02:36,31.00,33.30
13:02:46,31.00,33.30
13:02:56,31.00,33.30
13:03:06,31.00,33.30
13:03:16,31.00,33.30
13:03:26,31.00,33.30
13:03:36,31.00,33.30
13:03:47,31.00,33.30
13:03:57,31.00,33.30
13:04:07,31.00,33.30
13:04:17,31.00,33.30
13:04:27,31.00,33.30
13:04:37,31.00,33.30
13:04:47,31.00,33.30
13:04:57,31.00,33.30
13:05:07,31.00,33.30
13:05:17,31.00,33.30
13:05:27,31.00,33.30
13:05:37,31.00,33.30
13:05:47,31.00,33.80
13:05:57,31.00,33.80
13:06:07,31.00,33.80
13:06:18,31.00,33.80
13:06:28,31.00,33.80
13:06:38,31.00,33.80
13:06:48,31.00,33.80
13:06:58,31.00,33.80
13:07:08,31.00,33.80
13:07:18,31.00,33.80
13:07:28,31.00,33.80
13:07:38,31.00,33.80
13:07:48,31.00,33.80
13:07:58,31.00,33.80
13:08:08,31.00,33.80
13:08:18,31.00,33.80
13:08:28,31.00,33.80
